Age,Gender,Annual_Income,Employment_Status,Education_Level,Marital_Status,Dependents,Loan_Amount,Loan_Term,Credit_Score,Existing_Loan,Property_Area,Loan_Status
38,Female,357596,Salaried,Graduate,Single,1,1877150,60,336,No,Semiurban,0
46,Male,1977352,Salaried,Graduate,Single,2,1867851,60,344,No,Semiurban,0
64,Male,780270,Self-Employed,Not Graduate,Single,3,391910,360,345,No,Urban,0
54,Male,378129,Salaried,Graduate,Single,2,1837895,60,864,No,Semiurban,1
30,Male,1990706,Salaried,Not Graduate,Married,4,1771123,180,600,No,Rural,0
56,Male,478953,Salaried,Graduate,Single,3,715400,60,587,Yes,Rural,0
34,Female,767367,Salaried,Graduate,Single,1,771662,360,568,No,Semiurban,1
51,Female,1254381,Salaried,Graduate,Single,4,1652813,240,361,No,Rural,0
35,Male,312421,Salaried,Graduate,Single,3,817360,36,865,No,Semiurban,1
28,Female,1406425,Self-Employed,Not Graduate,Single,0,1495319,36,880,No,Urban,1
34,Male,1011465,Salaried,Graduate,Married,3,822354,120,541,No,Urban,1
43,Female,388483,Salaried,Graduate,Married,0,1568349,36,653,No,Rural,1
60,Female,542551,Salaried,Graduate,Single,0,264480,360,370,No,Rural,1
41,Female,1242617,Unemployed,Not Graduate,Single,3,1463153,180,712,Yes,Semiurban,0
36,Female,420146,Unemployed,Graduate,Single,3,782654,360,360,Yes,Semiurban,0
38,Male,1530503,Self-Employed,Not Graduate,Single,0,461973,24,751,Yes,Semiurban,1
44,Male,257524,Salaried,Not Graduate,Married,2,1910420,360,692,Yes,Urban,0
46,Female,368306,Salaried,Graduate,Single,4,561213,120,828,Yes,Semiurban,1
45,Female,1061289,Salaried,Not Graduate,Married,1,564738,36,604,Yes,Urban,1
61,Male,694026,Salaried,Not Graduate,Single,3,1243960,60,490,Yes,Rural,0
49,Female,1995711,Salaried,Graduate,Married,4,465335,36,377,No,Urban,1
35,Male,263776,Self-Employed,Graduate,Married,4,1241452,12,857,Yes,Rural,0
21,Male,330494,Self-Employed,Graduate,Married,2,1807922,120,824,No,Urban,1
45,Male,342971,Self-Employed,Graduate,Single,4,1669409,240,600,No,Urban,0
27,Female,1079896,Salaried,Graduate,Single,3,388663,240,316,No,Semiurban,1
29,Male,427785,Self-Employed,Graduate,Married,4,735359,180,873,No,Rural,1
44,Female,1540254,Salaried,Graduate,Single,3,1456813,36,733,No,Urban,1
21,Male,418449,Salaried,Graduate,Single,3,1007262,36,342,No,Urban,0
64,Female,903622,Self-Employed,Graduate,Married,0,930756,180,367,Yes,Rural,0
28,Female,1479502,Salaried,Not Graduate,Single,2,512735,360,679,No,Urban,1
44,Female,1538977,Salaried,Not Graduate,Married,1,1626632,24,511,No,Rural,0
31,Male,386371,Salaried,Graduate,Single,0,313648,60,502,No,Rural,1
37,Male,752251,Self-Employed,Graduate,Single,1,1088985,360,408,No,Rural,0
28,Female,796275,Self-Employed,Graduate,Married,3,380130,60,583,No,Urban,1
55,Female,1874502,Salaried,Not Graduate,Married,0,519988,24,524,Yes,Urban,1
55,Female,274591,Self-Employed,Graduate,Married,4,953153,24,417,Yes,Semiurban,0
53,Male,742054,Salaried,Graduate,Married,4,1630866,12,639,No,Rural,0
25,Male,680799,Salaried,Not Graduate,Single,1,125427,360,580,No,Urban,1
62,Male,789104,Self-Employed,Not Graduate,Single,3,1399507,180,790,Yes,Urban,0
59,Male,650981,Self-Employed,Not Graduate,Single,1,63898,120,318,No,Rural,0
61,Female,923720,Unemployed,Not Graduate,Married,2,977976,60,474,Yes,Rural,0
48,Female,1093681,Salaried,Graduate,Single,4,1179376,24,768,No,Rural,1
27,Male,416909,Self-Employed,Graduate,Single,0,1837163,24,441,No,Semiurban,0
29,Male,1350002,Self-Employed,Graduate,Single,0,421167,180,762,No,Semiurban,1
28,Female,1484649,Unemployed,Graduate,Married,0,1000136,240,597,Yes,Semiurban,0
32,Male,1358468,Salaried,Not Graduate,Married,4,1225294,120,769,No,Rural,1
54,Male,1310152,Self-Employed,Graduate,Single,3,608031,24,672,No,Urban,1
53,Male,1621315,Self-Employed,Graduate,Single,4,1832474,240,767,Yes,Rural,1
43,Male,1793952,Salaried,Not Graduate,Married,4,817877,12,737,Yes,Urban,1
44,Male,1133667,Salaried,Graduate,Married,0,1273034,120,742,No,Semiurban,1
57,Male,1276101,Salaried,Not Graduate,Married,4,180864,240,755,No,Semiurban,1
55,Female,163780,Self-Employed,Not Graduate,Married,0,1250971,12,547,Yes,Semiurban,0
64,Male,418733,Self-Employed,Graduate,Single,3,1561061,36,441,No,Urban,0
60,Male,1030096,Self-Employed,Graduate,Married,2,1270967,60,701,No,Urban,1
42,Female,1113443,Self-Employed,Graduate,Single,0,1639732,24,521,Yes,Rural,0
47,Female,1643285,Salaried,Graduate,Married,1,280804,240,483,No,Rural,1
55,Female,254188,Salaried,Graduate,Single,2,838512,120,663,Yes,Rural,0
21,Male,767614,Salaried,Graduate,Single,3,1243424,12,487,Yes,Semiurban,0
55,Female,977385,Salaried,Not Graduate,Married,2,1295879,60,412,Yes,Rural,0
57,Male,740073,Salaried,Graduate,Single,0,1283460,360,480,No,Semiurban,1
34,Male,1742173,Salaried,Not Graduate,Single,3,1686135,60,498,No,Urban,1
23,Male,1777059,Salaried,Graduate,Single,1,1176161,360,369,Yes,Semiurban,1
21,Female,1224477,Salaried,Graduate,Married,0,1550334,360,897,No,Semiurban,1
25,Female,1877512,Salaried,Not Graduate,Married,0,1222723,24,784,No,Semiurban,1
46,Female,1623300,Salaried,Graduate,Married,3,1114204,240,698,Yes,Urban,1
34,Female,617927,Salaried,Graduate,Single,3,437994,360,850,No,Urban,1
59,Female,1748328,Unemployed,Graduate,Single,2,1358093,60,309,No,Rural,0
47,Male,1476980,Self-Employed,Not Graduate,Single,1,189337,24,302,No,Rural,0
29,Male,799285,Self-Employed,Graduate,Single,2,1489592,240,777,No,Rural,1
35,Male,447584,Salaried,Graduate,Married,2,848892,360,366,No,Urban,0
35,Male,1555802,Self-Employed,Graduate,Single,0,309970,240,396,No,Urban,1
46,Female,1042015,Self-Employed,Not Graduate,Single,3,1626341,36,830,Yes,Urban,0
62,Female,730971,Self-Employed,Not Graduate,Single,0,838634,24,617,No,Urban,0
33,Male,536350,Salaried,Graduate,Married,1,1212422,180,397,No,Urban,0
52,Female,322502,Self-Employed,Not Graduate,Single,2,925842,360,356,Yes,Semiurban,0
59,Female,1706570,Self-Employed,Graduate,Married,1,294000,12,406,No,Rural,1
52,Male,1879041,Self-Employed,Graduate,Married,3,1991761,180,387,No,Semiurban,0
24,Male,1801348,Self-Employed,Graduate,Single,3,323994,240,670,No,Rural,1
50,Female,924107,Salaried,Graduate,Single,4,1858557,240,674,Yes,Semiurban,0
57,Female,1004741,Salaried,Graduate,Single,1,708166,60,351,No,Urban,0
43,Male,982359,Salaried,Graduate,Single,0,974667,60,340,No,Rural,1
59,Male,1405062,Self-Employed,Graduate,Married,1,406512,60,390,Yes,Semiurban,1
35,Male,1062935,Salaried,Not Graduate,Married,2,836617,240,338,Yes,Rural,0
63,Female,599777,Salaried,Graduate,Married,3,1123294,24,312,No,Urban,0
49,Male,291449,Salaried,Graduate,Married,3,1810138,120,403,Yes,Urban,0
56,Male,727880,Salaried,Not Graduate,Married,1,1779151,24,342,Yes,Rural,0
33,Female,1336995,Salaried,Graduate,Married,1,1520117,12,508,No,Rural,0
52,Female,445920,Self-Employed,Graduate,Married,1,1903466,24,899,No,Urban,1
27,Female,1071287,Self-Employed,Not Graduate,Married,2,1228869,60,775,No,Urban,1
42,Female,1778662,Salaried,Graduate,Married,2,1483062,36,408,No,Urban,0
48,Female,285370,Salaried,Graduate,Married,0,721366,12,858,No,Semiurban,1
22,Male,1006636,Salaried,Graduate,Single,1,799440,180,513,No,Rural,1
62,Male,1022639,Self-Employed,Not Graduate,Single,0,476185,36,708,Yes,Urban,1
26,Female,598377,Salaried,Graduate,Single,4,651108,12,852,No,Rural,1
48,Female,997084,Salaried,Not Graduate,Married,2,940446,12,376,No,Semiurban,0
48,Female,641830,Salaried,Graduate,Single,3,1097197,240,394,No,Semiurban,0
64,Female,1066004,Self-Employed,Graduate,Married,4,1085357,60,568,No,Urban,1
64,Female,393767,Self-Employed,Not Graduate,Married,3,470871,240,660,Yes,Rural,0
40,Male,1743786,Self-Employed,Graduate,Single,4,1848615,360,829,No,Semiurban,1
50,Male,577244,Self-Employed,Graduate,Married,0,131234,180,461,No,Rural,1
31,Male,654677,Salaried,Graduate,Single,0,1752146,24,764,No,Rural,1
48,Male,1612108,Salaried,Not Graduate,Married,2,543622,240,863,No,Urban,1
45,Female,1013428,Salaried,Graduate,Married,3,321246,360,847,Yes,Semiurban,1
59,Male,1608760,Salaried,Graduate,Single,4,903539,180,486,Yes,Semiurban,0
53,Female,966698,Salaried,Graduate,Single,1,284501,60,351,Yes,Semiurban,0
21,Female,668895,Salaried,Not Graduate,Single,1,1749192,60,787,No,Rural,0
47,Female,1425393,Salaried,Graduate,Single,2,989057,360,830,Yes,Semiurban,1
33,Male,567216,Unemployed,Graduate,Single,3,1182655,240,695,No,Semiurban,0
61,Female,1081515,Self-Employed,Graduate,Single,1,1489889,60,391,No,Rural,0
23,Male,1201442,Self-Employed,Graduate,Married,2,668725,36,656,No,Semiurban,1
59,Male,262669,Self-Employed,Graduate,Married,2,1702434,180,443,Yes,Semiurban,0
26,Female,942330,Salaried,Graduate,Married,3,1715520,180,498,No,Rural,0
28,Female,430539,Self-Employed,Graduate,Married,1,247937,12,622,No,Semiurban,1
47,Female,1892955,Salaried,Not Graduate,Single,1,430445,120,631,No,Urban,1
29,Male,1170747,Self-Employed,Not Graduate,Married,1,1795356,24,563,No,Rural,0
57,Female,416150,Salaried,Graduate,Married,0,206454,360,516,Yes,Semiurban,0
53,Male,839753,Unemployed,Not Graduate,Single,1,88795,60,855,Yes,Urban,1
62,Female,1995964,Salaried,Graduate,Married,4,1150001,180,733,No,Rural,1
64,Female,593258,Salaried,Not Graduate,Single,0,631690,180,759,No,Semiurban,1
44,Male,639415,Unemployed,Graduate,Single,0,505755,12,802,Yes,Rural,1
35,Male,1097135,Salaried,Graduate,Single,0,1830139,360,768,No,Urban,1
52,Male,1556396,Self-Employed,Not Graduate,Married,0,415271,24,665,No,Rural,1
52,Male,796012,Self-Employed,Not Graduate,Single,2,1861587,120,538,No,Semiurban,0
44,Male,1785765,Self-Employed,Graduate,Married,4,990963,120,880,Yes,Urban,1
61,Male,1043659,Unemployed,Graduate,Married,3,1934657,60,860,No,Rural,0
32,Female,874857,Unemployed,Graduate,Married,1,1302143,120,695,Yes,Semiurban,0
59,Female,638029,Salaried,Graduate,Single,0,669405,120,694,Yes,Semiurban,1
22,Male,1840056,Self-Employed,Graduate,Single,3,1360288,240,374,No,Urban,1
23,Female,322646,Self-Employed,Graduate,Single,2,514962,24,397,Yes,Urban,0
57,Male,1492137,Self-Employed,Not Graduate,Married,3,1831989,360,682,No,Rural,0
37,Female,500164,Salaried,Graduate,Married,0,1285926,24,669,Yes,Semiurban,1
22,Female,1544359,Self-Employed,Graduate,Single,4,390300,240,584,No,Urban,1
22,Male,1656798,Unemployed,Graduate,Married,3,479960,60,555,No,Semiurban,1
48,Male,1293457,Unemployed,Graduate,Single,0,1449060,180,608,No,Rural,0
43,Male,392934,Salaried,Graduate,Single,0,80568,12,475,No,Urban,1
57,Female,282659,Salaried,Graduate,Married,1,985495,60,527,No,Rural,1
52,Male,1844552,Salaried,Not Graduate,Married,1,1369632,36,646,No,Rural,1
53,Female,651323,Self-Employed,Not Graduate,Single,4,737887,120,641,No,Urban,1
21,Male,789872,Self-Employed,Graduate,Married,1,1063903,240,538,Yes,Rural,0
39,Female,1908646,Salaried,Graduate,Single,4,1411146,12,649,No,Semiurban,1
22,Female,897108,Salaried,Graduate,Single,2,1471083,180,754,No,Urban,1
64,Male,1012318,Salaried,Not Graduate,Married,2,280066,180,740,No,Semiurban,1
46,Female,1086320,Salaried,Not Graduate,Single,1,1351583,24,887,Yes,Rural,1
52,Female,1939760,Unemployed,Graduate,Married,2,544957,36,814,Yes,Urban,0
26,Male,965864,Self-Employed,Graduate,Single,3,52355,360,380,No,Semiurban,0
52,Female,1378265,Salaried,Not Graduate,Married,3,146429,180,660,No,Semiurban,1
24,Male,1533093,Salaried,Graduate,Married,3,1808669,36,587,No,Semiurban,0
31,Male,1363865,Salaried,Graduate,Single,2,1558077,120,307,Yes,Semiurban,0
37,Male,1481604,Unemployed,Not Graduate,Married,3,528187,24,386,Yes,Semiurban,0
58,Male,417598,Salaried,Not Graduate,Married,4,488949,12,585,No,Rural,1
44,Female,1797824,Salaried,Graduate,Single,0,1020220,24,698,No,Rural,1
25,Female,1300997,Salaried,Graduate,Married,1,161151,120,373,Yes,Rural,1
54,Female,1436821,Self-Employed,Graduate,Single,4,1399246,240,738,Yes,Rural,0
26,Male,1766482,Self-Employed,Graduate,Married,3,1903096,180,422,No,Rural,0
42,Female,1151452,Self-Employed,Graduate,Single,0,377521,36,676,No,Rural,1
31,Female,1245687,Salaried,Graduate,Single,1,225477,240,442,No,Rural,1
36,Male,582829,Salaried,Not Graduate,Single,4,1530634,120,457,No,Semiurban,0
53,Male,366750,Salaried,Not Graduate,Single,1,1684652,180,729,No,Rural,0
29,Female,270592,Self-Employed,Graduate,Married,2,554898,60,747,Yes,Semiurban,1
26,Male,384000,Salaried,Graduate,Single,3,625817,360,709,No,Urban,1
36,Male,930277,Self-Employed,Graduate,Married,4,162833,36,670,No,Rural,1
49,Male,472137,Self-Employed,Graduate,Single,4,1202154,120,408,No,Semiurban,0
23,Male,1327228,Self-Employed,Graduate,Married,0,1282031,12,335,No,Urban,0
40,Female,1076352,Salaried,Graduate,Single,0,555527,12,389,No,Urban,1
56,Male,658069,Salaried,Not Graduate,Married,0,613465,180,714,No,Semiurban,1
39,Male,1801536,Salaried,Graduate,Married,1,691191,180,595,No,Semiurban,1
46,Male,1973215,Self-Employed,Not Graduate,Single,3,1661920,12,345,No,Semiurban,0
23,Male,1002557,Self-Employed,Not Graduate,Single,1,531465,360,787,Yes,Rural,1
39,Male,1416092,Salaried,Graduate,Single,3,1689285,60,469,No,Urban,0
40,Male,529653,Salaried,Graduate,Married,4,1787568,24,445,No,Rural,0
52,Male,1260178,Self-Employed,Not Graduate,Married,1,1400405,12,719,Yes,Rural,0
27,Male,353117,Self-Employed,Not Graduate,Married,1,1306870,360,872,Yes,Rural,1
61,Female,387069,Salaried,Graduate,Married,1,118590,360,302,No,Urban,1
53,Male,716510,Self-Employed,Graduate,Single,2,1369697,180,893,No,Urban,1
60,Female,1439660,Salaried,Graduate,Single,3,927000,180,562,Yes,Urban,1
59,Male,1440894,Salaried,Not Graduate,Single,3,885399,60,620,No,Semiurban,1
38,Male,1788197,Unemployed,Graduate,Single,1,1434792,12,875,No,Rural,0
60,Male,858092,Self-Employed,Graduate,Married,2,458286,60,545,No,Semiurban,1
21,Male,1583370,Self-Employed,Not Graduate,Married,1,1574265,360,888,Yes,Semiurban,1
31,Female,1247996,Salaried,Graduate,Single,3,857932,12,776,No,Rural,1
48,Male,749792,Self-Employed,Graduate,Married,4,549203,24,558,Yes,Urban,0
45,Male,1725326,Salaried,Graduate,Single,2,951907,120,392,No,Rural,0
43,Female,421604,Salaried,Not Graduate,Married,2,584299,12,832,No,Semiurban,1
51,Female,773607,Salaried,Graduate,Married,1,229111,120,873,No,Urban,1
50,Male,1979538,Salaried,Graduate,Married,4,452112,12,638,No,Urban,1
62,Female,814635,Self-Employed,Graduate,Married,3,407479,24,559,Yes,Semiurban,1
55,Female,818629,Self-Employed,Graduate,Married,0,1047622,360,536,No,Urban,1
27,Female,1852457,Salaried,Graduate,Married,3,1531750,240,440,No,Urban,0
36,Male,1321248,Salaried,Graduate,Single,3,1533704,180,779,No,Rural,1
46,Male,1657734,Salaried,Graduate,Married,4,50814,120,878,No,Rural,1
22,Male,1533640,Salaried,Not Graduate,Single,2,518492,360,649,Yes,Semiurban,1
21,Female,663953,Self-Employed,Not Graduate,Single,3,1516511,60,869,Yes,Semiurban,1
32,Male,567582,Self-Employed,Graduate,Single,2,1068585,12,429,Yes,Semiurban,0
25,Female,194036,Salaried,Graduate,Single,4,1380870,180,836,No,Urban,1
57,Male,1347017,Salaried,Graduate,Single,4,53825,12,310,Yes,Semiurban,0
52,Male,292867,Self-Employed,Not Graduate,Single,1,624656,60,556,Yes,Rural,0
29,Female,1268597,Self-Employed,Graduate,Married,0,458016,360,668,No,Urban,1
61,Male,519349,Salaried,Graduate,Married,4,1174111,24,693,Yes,Semiurban,0
55,Female,1659946,Salaried,Graduate,Married,4,136390,36,892,Yes,Urban,1
39,Female,835503,Self-Employed,Graduate,Single,2,1603060,12,718,No,Urban,0
36,Male,572641,Salaried,Graduate,Single,4,273923,240,318,Yes,Urban,0
23,Female,487283,Salaried,Graduate,Single,3,1727940,60,409,No,Semiurban,0
40,Male,910592,Self-Employed,Graduate,Married,1,780377,36,736,No,Urban,1
44,Male,1728232,Self-Employed,Not Graduate,Married,1,229577,12,804,Yes,Urban,1
53,Female,1858557,Self-Employed,Graduate,Married,3,1876341,120,333,No,Urban,0
44,Male,733117,Self-Employed,Graduate,Single,4,1680763,360,587,No,Rural,0
31,Female,541180,Self-Employed,Graduate,Single,0,788142,180,554,No,Semiurban,0
28,Male,1652086,Salaried,Graduate,Single,4,859033,180,433,No,Rural,1
56,Male,951151,Salaried,Graduate,Married,1,1240325,60,798,No,Urban,1
58,Male,1752091,Salaried,Graduate,Single,0,472768,120,696,Yes,Urban,1
60,Male,783718,Salaried,Graduate,Single,2,1883185,24,786,No,Rural,1
40,Male,550782,Self-Employed,Graduate,Single,2,1841794,36,897,No,Urban,1
55,Female,162306,Self-Employed,Graduate,Single,4,511107,60,886,No,Rural,1
45,Female,728110,Unemployed,Graduate,Married,4,543915,240,512,No,Urban,0
55,Female,174042,Self-Employed,Not Graduate,Married,0,1221931,12,649,Yes,Urban,0
45,Female,558302,Salaried,Graduate,Single,0,1976458,180,318,No,Urban,0
49,Female,822747,Salaried,Graduate,Single,4,214364,12,418,No,Urban,0
38,Female,763712,Self-Employed,Graduate,Married,1,178424,36,601,No,Semiurban,1
38,Male,1381266,Self-Employed,Graduate,Married,2,175451,120,584,Yes,Semiurban,1
22,Male,897410,Self-Employed,Graduate,Single,0,378241,120,526,No,Semiurban,1
55,Female,299395,Self-Employed,Graduate,Married,1,1827639,60,806,No,Rural,1
36,Female,1740883,Self-Employed,Not Graduate,Married,4,721544,60,800,Yes,Rural,1
61,Male,1011858,Self-Employed,Graduate,Single,3,1057537,120,511,Yes,Rural,0
56,Male,1763727,Salaried,Graduate,Married,0,1318984,60,655,Yes,Rural,1
53,Male,1188457,Self-Employed,Not Graduate,Married,3,1028550,120,786,No,Semiurban,1
24,Female,785311,Self-Employed,Not Graduate,Married,1,1427461,36,620,No,Rural,1
53,Female,1864219,Salaried,Graduate,Married,2,635665,60,522,No,Rural,1
34,Female,1085783,Self-Employed,Graduate,Single,1,1503831,120,862,Yes,Rural,1
41,Male,1507719,Salaried,Graduate,Married,2,619449,60,490,No,Urban,1
40,Male,212780,Unemployed,Graduate,Married,1,740366,12,799,No,Rural,1
28,Female,959340,Salaried,Graduate,Single,0,198616,360,794,No,Urban,1
27,Female,1915520,Self-Employed,Graduate,Married,0,1635851,180,536,Yes,Rural,1
23,Male,1586998,Salaried,Not Graduate,Single,3,579527,12,321,Yes,Rural,0
37,Male,1642017,Self-Employed,Graduate,Single,1,619073,24,626,No,Urban,1
53,Male,1891888,Salaried,Graduate,Married,1,73358,120,844,No,Rural,1
32,Male,1299282,Salaried,Graduate,Married,3,1475479,24,426,No,Urban,0
42,Female,1891599,Salaried,Not Graduate,Married,4,525890,120,664,Yes,Rural,1
42,Male,272019,Unemployed,Graduate,Married,1,1286098,360,343,No,Rural,0
50,Male,521852,Salaried,Graduate,Married,1,269592,180,818,Yes,Urban,1
58,Male,1915317,Salaried,Graduate,Single,1,209500,60,427,No,Semiurban,1
58,Female,329001,Self-Employed,Graduate,Married,4,1107672,120,429,No,Urban,0
28,Female,945775,Salaried,Graduate,Single,0,1146158,360,828,No,Semiurban,1
47,Male,1298836,Unemployed,Graduate,Married,3,762755,12,620,No,Urban,0
47,Male,1369439,Salaried,Graduate,Single,4,948027,60,485,No,Semiurban,1
54,Male,834494,Self-Employed,Graduate,Married,2,1559949,180,647,No,Rural,0
41,Female,1179870,Salaried,Graduate,Married,2,1724358,12,780,No,Semiurban,1
50,Female,1901037,Salaried,Graduate,Married,4,1430204,60,886,No,Rural,1
53,Female,743731,Self-Employed,Graduate,Married,4,837719,120,660,Yes,Urban,1
48,Male,904471,Self-Employed,Graduate,Married,0,1808446,120,586,No,Semiurban,0
53,Female,469674,Self-Employed,Graduate,Single,2,1646766,12,481,Yes,Rural,0
25,Male,1638591,Salaried,Graduate,Married,3,1416908,36,750,Yes,Urban,1
39,Male,810187,Salaried,Not Graduate,Married,1,425038,120,396,No,Semiurban,1
24,Male,246143,Salaried,Graduate,Married,1,1512956,360,862,No,Rural,1
55,Female,1916589,Unemployed,Graduate,Single,0,1966212,36,613,No,Semiurban,0
37,Male,294771,Salaried,Graduate,Married,0,1231420,60,845,No,Semiurban,1
64,Female,1170332,Salaried,Not Graduate,Single,2,1282702,36,320,No,Rural,0
48,Female,1705289,Salaried,Not Graduate,Married,3,1022382,12,875,No,Rural,1
50,Male,1158923,Self-Employed,Graduate,Single,3,701088,24,796,No,Urban,1
49,Male,1050959,Salaried,Graduate,Married,4,1858440,24,702,No,Rural,1
26,Female,1970908,Unemployed,Graduate,Married,0,1419013,12,423,Yes,Rural,0
55,Male,810673,Salaried,Graduate,Single,1,524514,240,418,Yes,Semiurban,0
61,Female,1867534,Self-Employed,Not Graduate,Married,1,581501,360,889,No,Rural,1
57,Male,261362,Salaried,Graduate,Single,2,1375661,24,776,No,Semiurban,1
44,Female,1969381,Self-Employed,Graduate,Married,1,932313,12,402,Yes,Semiurban,1
49,Female,1489527,Unemployed,Not Graduate,Married,3,459180,120,632,No,Rural,0
51,Female,1923326,Salaried,Not Graduate,Single,3,1125431,36,758,No,Rural,1
55,Female,326298,Unemployed,Graduate,Married,0,1026273,24,429,No,Rural,0
